Split,Classifier,Parameters,Threshold,Accuracy,Precision,Recall,F1,AUC_ROC
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.3,0.6441561627871316,0.3351052954406052,0.3913095380207712,0.3610330965361529,0.5931599631303821
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.5,0.5504646241604564,0.3073667423173649,0.5981855079384027,0.4060777957860616,0.5931599631303821
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.01,0.7413745514766767,0.41411042944785276,0.016115554494449087,0.031023784901758018,0.6283066570214585
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.02,0.7398411384058637,0.4187116564417178,0.03258923242210816,0.060471813046849045,0.6283066570214585
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.05,0.7346275339650995,0.4153374233128834,0.08081652142771875,0.1353052862995903,0.6283066570214585
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.1,0.7224215659214279,0.39662576687116563,0.15435119971350125,0.2222222222222222,0.6283066570214585
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.2,0.6932560493145643,0.37540254562183717,0.2922287214993434,0.328634716069271,0.6283066570214585
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.3,0.6607170239519121,0.3627070128808015,0.4235406470096693,0.39077041687317576,0.6283066570214585
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.5,0.5723004262888337,0.32920321413236825,0.6406828220126537,0.4349270664505672,0.6283066570214585
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10}",0.01,0.7395344557917012,0.3220858895705521,0.01253432016234929,0.024129610479145122,0.6246489796684523
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10}",0.02,0.73585426442175,0.31901840490797545,0.02482989136922526,0.04607376232140879,0.6246489796684523
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10}",0.05,0.7268991320882019,0.3380368098159509,0.0657753372328996,0.11012291396022786,0.6246489796684523
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10}",0.1,0.7090502039439385,0.32975460122699385,0.1283275635669094,0.18475552118243532,0.6246489796684523
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10}",0.2,0.6821541386818781,0.3476460665542095,0.270621941029008,0.3043361525036918,0.6246489796684523
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10}",0.3,0.6570981691047935,0.356675526477203,0.4164975528232064,0.38427226168841894,0.6246489796684523
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10}",0.5,0.5764713098414451,0.33337422560264984,0.6488002864987465,0.4404376012965964,0.6246489796684523
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.01,0.7419265801821695,0.44171779141104295,0.017189924794079027,0.033092037228541885,0.6355922173752582
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.02,0.7400251479743614,0.4233128834355828,0.03294735585531813,0.06113633846494628,0.6355922173752582
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.05,0.7336461495997791,0.405521472392638,0.0789065297839322,0.13210752473268714,0.6355922173752582
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.1,0.7235256233324133,0.4021472392638037,0.15649994031276113,0.22531580304202112,0.6355922173752582
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.2,0.6962002024105254,0.3827633798497163,0.2979586964307031,0.33507853403141363,0.6355922173752582
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.3,0.6625571196368878,0.3657738703741566,0.42712188134176915,0.3940745635772895,0.6355922173752582
1,RF,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.5,0.5775753672524304,0.33447831687419494,0.6509490270980064,0.4418962722852512,0.6355922173752582
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.01,0.7403318305885239,0.3619631901840491,0.014086188372925868,0.027117086062277373,0.6451106667426696
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.02,0.7374490140153954,0.3588957055214724,0.027933627790378418,0.0518329826115849,0.6451106667426696
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.05,0.728677891250345,0.3558282208588957,0.06923719708726274,0.11591885680023983,0.6451106667426696
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.1,0.7131597509737173,0.35030674846625764,0.1363256535752656,0.1962705164561313,0.6451106667426696
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.2,0.6900052136044408,0.3672749578285539,0.28590187417930046,0.32151966706940527,0.6451106667426696
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.3,0.6640905327077008,0.36832958495195256,0.43010624328518565,0.39682801916405086,0.6451106667426696
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.5,0.5840770386726777,0.3409801876955162,0.6636027217380924,0.450486223662885,0.6451106667426696
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.01,0.741987916705002,0.4447852760736196,0.017309299271815685,0.03332184304262898,0.650389585480871
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.02,0.7410678688625142,0.4493865030674847,0.03497672197684135,0.06490198250083065,0.650389585480871
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.05,0.7364062931272426,0.4331288343558282,0.08427838128208189,0.14110122913960224,0.650389585480871
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.1,0.7275124973165271,0.42208588957055215,0.16425928136564402,0.23648706711351722,0.650389585480871
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.2,0.7006164320544669,0.393804631191535,0.3065536588277426,0.34474426097462746,0.650389585480871
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.3,0.6701015119452878,0.37834798609691267,0.4418049421033783,0.4076215650641555,0.650389585480871
1,RF,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.5,0.5857331247891557,0.34263632460283383,0.6668258326369823,0.45267423014586705,0.650389585480871
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 10}",0.01,0.7397184653601987,0.3312883435582822,0.01289244359555927,0.024819027921406413,0.603093535642938
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 10}",0.02,0.7367743122642377,0.34202453987730064,0.02662050853527516,0.049396389411895,0.603093535642938
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 10}",0.05,0.7272058147023646,0.3411042944785276,0.06637220962158291,0.11112221444988508,0.603093535642938
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 10}",0.1,0.7135277701107124,0.3521472392638037,0.13704190044168557,0.19730171006273095,0.603093535642938
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 10}",0.2,0.6841169074125187,0.35255328937279556,0.2744419243165811,0.30863203114512017,0.603093535642938
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 10}",0.3,0.6493697672278959,0.34379472500511143,0.40145636862838724,0.3703948455311416,0.603093535642938
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 10}",0.5,0.5572116416720336,0.31411396675458503,0.6113167004894353,0.4149918962722852,0.603093535642938
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.01,0.7414358879995093,0.4171779141104294,0.016234928972185748,0.03125359071584511,0.6484617320059234
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.02,0.739166436654706,0.401840490797546,0.0312761131670049,0.058035219847159154,0.6484617320059234
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.05,0.733400803508449,0.4030674846625767,0.07842903187298556,0.13130808434096133,0.6484617320059234
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.1,0.7229735946269206,0.3993865030674847,0.1554255700131312,0.2237690126321217,0.6484617320059234
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.2,0.6993283650749839,0.3905842662168379,0.30404679479527275,0.34192509061619003,0.6484617320059234
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.3,0.669304137148465,0.3770190145164588,0.4402530738928017,0.40618976815903957,0.6484617320059234
1,RF,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.5,0.5828503082160272,0.33975341961602157,0.6612152321833592,0.44886547811993516,0.6484617320059234
1,GB,"{'learning_rate': 0.001, 'n_estimators': 10}",0.01,0.740699849725519,0.3803680981595092,0.014802435239345827,0.028495920946799952,0.6306920945964154
1,GB,"{'learning_rate': 0.001, 'n_estimators': 10}",0.02,0.7381237157665532,0.37576687116564417,0.029246747045481677,0.05426957581127478,0.6306920945964154
